step,energy
361800000,11175.0020657
362400000,11372.8875234
363000000,11510.4928196
363600000,11505.1003592
364200000,11381.8433959
364800000,11396.2872338
365400000,11472.9568636
366000000,11416.8947987
366600000,11480.0828673
367200000,11568.9439328
367800000,11435.9124881
368400000,11381.9870637
369000000,11349.7954053
369600000,11569.3470301
370200000,11341.5432006
370800000,11453.0048037
371400000,11230.8047012
372000000,11322.6691789
372600000,11199.4122156
373200000,11346.1170521
373800000,11287.7141018
374400000,11418.1452316
375000000,11431.57863
375600000,11371.3939736
376200000,11339.8096573
376800000,11561.0948254
377400000,11490.9920198
378000000,11551.1766763
378600000,11272.3553295
379200000,11434.3226127
379800000,11646.6045661
380400000,11580.0170099
381000000,11676.2635085
381600000,11707.799662
382200000,11626.9119357
382800000,11611.5531633
383400000,11639.4303997
384000000,11700.6254955
384600000,11579.3133421
385200000,11315.5431753
385800000,11711.4585791
386400000,11730.2844379
387000000,11749.1584596
387600000,11929.4118584
388200000,11915.7190304
388800000,11777.0356959
389400000,12001.9797811
390000000,11938.6550665
390600000,11937.3370348
391200000,11880.456361
391800000,11885.6569907
392400000,11738.0853825
393000000,11975.855524
393600000,11857.991021
394200000,11747.1849229
394800000,11701.3485993
395400000,11822.0728467
396000000,11843.4795843
396600000,11720.1744581
397200000,11661.723345
397800000,11805.8473027
398400000,11821.1384762
399000000,11635.7714825
399600000,11870.5382119
400200000,11649.204881
400800000,11688.8301353
401400000,12011.8024253
402000000,12155.1551164
402600000,11854.5044986
403200000,12183.9278511
403800000,11925.6853424
404400000,12128.8483194
405000000,12100.0561487
405600000,11864.4708105
406200000,11956.1916204
406800000,11759.1247715
407400000,12038.4649773
408000000,11879.8295829
408600000,11880.6963545
409200000,12014.7864014
409800000,11873.5897869
410400000,11797.8832543
411000000,11684.4962772
411600000,11744.0254287
412200000,11635.1641404
412800000,11840.0124978
413400000,11891.4052062
414000000,11654.693667
414600000,11716.9473652
415200000,11839.1938891
415800000,11805.0092579
416400000,11828.620235
417000000,11788.7837139
417600000,11865.405181
418200000,11998.6478923
418800000,11897.1526011
419400000,12126.2480046
420000000,12202.8018728
420600000,11982.1916457
421200000,12125.3330701
421800000,12040.7864267
422400000,12083.0119959
423000000,12091.2642006
423600000,12033.4685924
424200000,12205.2585198
424800000,12296.2562259
425400000,11985.8505628
426000000,12140.5481746
426600000,12017.2430485
427200000,11998.4171896
427800000,12180.173429
428400000,12147.0186733
429000000,12171.476986
429600000,12052.4862819
430200000,12257.545906
430800000,12128.0297107
431400000,11848.2934294
432000000,11965.2911608
432600000,11932.8400728
433200000,11805.2010886
433800000,12231.5940436
434400000,11803.2757147
435000000,12152.6511272
435600000,12221.8195623
436200000,11899.714044
436800000,11899.7622068
437400000,12049.885967
438000000,11852.7709553
438600000,11945.4066997
439200000,11891.4812752
439800000,11857.3448069
440400000,11858.2115785
441000000,11911.2220685
441600000,11976.1242443
442200000,11923.9323632
442800000,11821.3784697
443400000,11951.8577623
444000000,12058.9373446
444600000,12117.3884577
445200000,11918.5880656
445800000,11981.5648676
446400000,12156.9655493
447000000,11991.291186
447600000,12166.8836984
448200000,11837.931042
448800000,11997.7422487
449400000,12093.0738129
450000000,12121.9623093
450600000,11957.9733265
451200000,12196.398973
451800000,11971.5985556
452400000,11920.273446
453000000,11984.9837912
453600000,12222.5426661
454200000,12632.0064093
454800000,12623.2144613
455400000,12737.1893445
456000000,12680.5199374
456600000,12381.9577973
457200000,12516.770948
457800000,12325.9151683
458400000,12264.7200724
459000000,12448.3535229
459600000,12317.9223931
460200000,12319.867203
460800000,12245.8942136
461400000,12227.9351264
462000000,11996.7318092
462600000,11945.4548625
463200000,12012.9091904
463800000,12080.4116811
464400000,11900.4371478
465000000,11989.7494734
465600000,12108.7883404
466200000,12236.3597258
466800000,12332.6062245
467400000,12098.6107617
468000000,12158.0241515
468600000,12502.7496435
469200000,12149.0209369
469800000,12328.0805357
470400000,12351.4996821
471000000,12198.3243469
471600000,12358.4144191
472200000,12610.368969
472800000,12330.6808506
473400000,12696.956748
474000000,12481.7195453
474600000,12583.8292004
475200000,12471.2413962
475800000,12744.7666082
476400000,12456.7299594
477000000,12379.5493131
477600000,12376.7571676
478200000,12643.9944208
478800000,12404.6344039
479400000,12350.6134745
480000000,12381.1391885
480600000,12370.3542678
481200000,12437.8085956
481800000,12546.8811506
482400000,12765.498405
483000000,12577.5310964
483600000,12627.7494409
484200000,12347.0982252
484800000,12342.5725364
485400000,12578.2542002
486000000,12315.7539024
486600000,12445.1745927
487200000,12416.1905913
487800000,12499.9186259
488400000,12581.7407227
489000000,12650.0423862
489600000,12615.0391462
490200000,12566.573781
490800000,12312.5780955
491400000,12429.6239897
492000000,12119.1701638
492600000,12511.5897543
493200000,12647.2020778
493800000,12573.4403551
494400000,12478.0606281
495000000,12428.5653874
495600000,12680.5199374
496200000,12427.650453
496800000,12566.3143515
497400000,12665.3529957
498000000,12462.8936864
498600000,12353.2137893
499200000,12496.2597088
499800000,12250.8711625
500400000,12508.9700035
501000000,12598.9091073
501600000,12495.556041
502200000,12626.9021053
502800000,12849.034609
503400000,12474.1298673
504000000,12695.9268725
504600000,12564.7726389
505200000,12821.9954174
505800000,12592.4098818
506400000,12531.2629487
507000000,12618.4580699
507600000,12689.8789072
508200000,12565.7070094
508800000,12606.9500453
509400000,12719.4896868
510000000,12583.5984978
510600000,12413.3502829
511200000,12551.099247
511800000,12740.0296528
512400000,12655.4830094
513000000,12809.2656868
513600000,12622.1651498
514200000,12747.3474871
514800000,12598.9572701
515400000,12874.0715369
516000000,12836.3243143
516600000,12970.4143612
517200000,13011.7731588
517800000,12932.5708129
518400000,12745.470276
519000000,13001.9505147
519600000,13019.7659341
520200000,12876.1126725
520800000,12971.2811329
521400000,12965.0219009
522000000,12860.7057373
522600000,12810.324289
523200000,12860.5907963
523800000,12786.9245786
524400000,12634.7317767
525000000,12513.3520244
525600000,12837.4023526
526200000,12488.2187707
526800000,12583.8579273
527400000,12652.1790267
528000000,12498.1369199
528600000,12463.0855171
529200000,12600.7584122
529800000,12642.9163826
530400000,12378.347043
531000000,12327.888705
531600000,12353.0219587
532200000,12415.9505978
532800000,12702.2055405
533400000,12630.6286212
534000000,12602.6837861
534600000,12454.5048357
535200000,12573.6321858
535800000,12506.6679901
536400000,12709.5039388
537000000,12515.2773983
537600000,12698.7190181
538200000,12643.7831542
538800000,12589.9058926
539400000,12771.6139691
540000000,12522.2597341
540600000,12770.7471975
541200000,12668.193304
541800000,12852.8092877
542400000,12635.9340468
543000000,12572.813577
543600000,12539.4957175
544200000,12503.7406469
544800000,12502.6626086
545400000,12554.8544898
546000000,12447.7749076
546600000,12677.9677853
547200000,12445.8013709
547800000,12168.905398
548400000,12366.8390184
549000000,12330.0059096
549600000,12540.3624891
550200000,12483.8849126
550800000,12392.1159399
551400000,12402.9490235
552000000,12264.3332878
552600000,12557.6466353
553200000,12465.7339948
553800000,12641.2022753
554400000,12221.9158879
555000000,12560.2663862
555600000,12511.762149
556200000,12646.5271369
556800000,12784.9992047
557400000,12399.9650473
558000000,12420.5244494
558600000,12346.7627267
559200000,12386.5316489
559800000,12365.7322533
560400000,12326.2033246
561000000,12284.844527
561600000,12399.0501129
562200000,12270.4006891
562800000,12260.4343772
563400000,12550.9074164
